"","papers","ifact","years"
"220",6.5,6,4.31947276217747
"221",6.5,6.5,3.146155951394
"222",6.5,7,3.2831897972018
"223",6.5,7.5,3.23030749884331
"224",6.5,8,4.46708608934527
"225",6.5,8.5,4.25200600595778
"226",6.5,9,3.33521520409337
"227",6.5,9.5,4.24819843858599
"228",6.5,10,3.32526997024526
"229",7,1,3.28835994099282
"230",7,1.5,3.26007701657677
"231",7,2,4.23425249798766
"232",7,2.5,3.18417622825826
"233",7,3,3.24864548418769
"234",7,3.5,4.30738151504122
"235",7,4,3.13656647849297
"236",7,4.5,3.32518759438737
"237",7,5,3.23101305677436
"238",7,5.5,3.20385275266373
"239",7,6,3.19073331408807
"240",7,6.5,4.18690316716614
"241",7,7,3.18323405789089
"242",7,7.5,3.26063845949095
"243",7,8,3.10116055667527
"244",7,8.5,3.27381039552005
"245",7,9,3.35785258464287
"246",7,9.5,3.22226785709656
"247",7,10,3.32779113051121
"248",7.5,1,4.14727915930719
"249",7.5,1.5,3.25986088901355
"250",7.5,2,3.16648424985956
"251",7.5,2.5,3.23087911985531
"252",7.5,3,3.22500576716476
"253",7.5,3.5,3.18722534499314
"254",7.5,4,3.16526369136451
"255",7.5,4.5,3.09613119805599
"256",7.5,5,3.11674886734784
"257",7.5,5.5,3.18884021001103
"258",7.5,6,3.21538703579992
"259",7.5,6.5,3.22843347156756
"260",7.5,7,3.19583448048643
"261",7.5,7.5,3.31266952241661
"262",7.5,8,3.10273016044411
"263",7.5,8.5,3.31887797650599
"264",7.5,9,3.12719161685758
"265",7.5,9.5,3.27591609044788
"266",7.5,10,3.10901352130953
"267",8,1,3.12705042227032
"268",8,1.5,3.11999244323802
"269",8,2,3.09283360500292
"270",8,2.5,3.08460600060835
"271",8,3,3.06125803298634
"272",8,3.5,3.06872342570774
"273",8,4,3.25771993580059
"274",8,4.5,3.32996049480594
"275",8,5,3.13041640169896
"276",8,5.5,3.29809825342536
"277",8,6,3.13122406044218
"278",8,6.5,3.1380815493962
"279",8,7,3.11828994871066
"280",8,7.5,3.27932801823522
"281",8,8,3.10928270727036
"282",8,8.5,3.14474187333431
"283",8,9,3.26153639444178
"284",8,9.5,3.22818878818698
"285",8,10,3.20782830235895
"286",8.5,1,3.17608322528171
"287",8.5,1.5,3.25305361563001
"288",8.5,2,3.17035920965756
"289",8.5,2.5,3.16027571618079
"290",8.5,3,3.05752450081975
"291",8.5,3.5,3.17801990882598
"292",8.5,4,3.16233136306137
"293",8.5,4.5,3.24822517358881
"294",8.5,5,3.16504900191002
"295",8.5,5.5,3.15652387415955
"296",8.5,6,3.12988534765818
"297",8.5,6.5,3.16275847914301
"298",8.5,7,3.07526431030692
"299",8.5,7.5,3.20767461290304
"300",8.5,8,3.24559331358742
"301",8.5,8.5,3.21057661723444
"302",8.5,9,3.08634616649017
"303",8.5,9.5,3.1894328339126
"304",8.5,10,3.19533216504953
"305",9,1,3.13624563891173
"306",9,1.5,3.18249533986859
"307",9,2,2.08262392420173
"308",9,2.5,3.16916354481556
"309",9,3,3.05619037370915
"310",9,3.5,3.06863933950485
"311",9,4,3.15384100060665
"312",9,4.5,3.17873793930733
"313",9,5,3.08484669514502
"314",9,5.5,3.16999608320801
"315",9,6,3.1013350044665
"316",9,6.5,3.16357152046134
"317",9,7,3.24760989597817
"318",9,7.5,3.16239704108998
"319",9,8,3.15463778504523
"320",9,8.5,3.12671399078874
"321",9,9,3.16683057075201
"322",9,9.5,3.1959504929937
"323",9,10,2.15451731011875
"324",9.5,1,3.11742937624344
"325",9.5,1.5,2.14481427647535
"326",9.5,2,3.12914920555957
"327",9.5,2.5,3.19097233603821
"328",9.5,3,3.21734933956804
"329",9.5,3.5,3.06181479103182
"330",9.5,4,3.12932648361339
"331",9.5,4.5,3.18094221155885
"332",9.5,5,2.08971585375088
"333",9.5,5.5,3.15376591484138
"334",9.5,6,3.10289662540566
"335",9.5,6.5,3.17611668501325
"336",9.5,7,3.14124979831607
"337",9.5,7.5,3.10599643249815
"338",9.5,8,3.26361681092019
"339",9.5,8.5,3.14248718391179
"340",9.5,9,3.12940387278627
"341",9.5,9.5,3.1586672114588
"342",9.5,10,3.14014303151336
"343",10,1,2.14777986434395
"344",10,1.5,2.16058694022414
"345",10,2,3.18416389192681
"346",10,2.5,3.15529375135105
"347",10,3,2.07024935140159
"348",10,3.5,3.18193236448766
"349",10,4,3.19122957327613
"350",10,4.5,2.16823536250892
"351",10,5,3.1339920314179
"352",10,5.5,2.11153267411402
"353",10,6,3.21957962612421
"354",10,6.5,2.0744091177611
"355",10,7,3.20881181983319
"356",10,7.5,2.02412322915533
"357",10,8,2.10984351412428
"358",10,8.5,3.15018177196033
"359",10,9,3.17879013714989
"360",10,9.5,3.12527833279245
"361",10,10,2.14945050534193
