"","papers","ifact","years"
"245",7,9,4.32036911636368
"246",7,9.5,4.25048031422809
"247",7,10,4.35050139897128
"248",7.5,1,7.63195736935075
"249",7.5,1.5,7.58849107797773
"250",7.5,2,6.3083728326864
"251",7.5,2.5,6.58538416231253
"252",7.5,3,6.48459016672664
"253",7.5,3.5,5.30389681042946
"254",7.5,4,5.31628398712963
"255",7.5,4.5,5.16832125722538
"256",7.5,5,4.52047708619502
"257",7.5,5.5,5.4870639095426
"258",7.5,6,5.30369094516128
"259",7.5,6.5,5.3222146285722
"260",7.5,7,4.27518613375156
"261",7.5,7.5,4.21337019178829
"262",7.5,8,4.20611283376819
"263",7.5,8.5,4.2180996341967
"264",7.5,9,4.12511000392731
"265",7.5,9.5,4.25684945724535
"266",7.5,10,4.36308628615348
"267",8,1,7.5088269221915
"268",8,1.5,7.41349456250055
"269",8,2,6.38510343044337
"270",8,2.5,6.44911451711019
"271",8,3,6.23708117023634
"272",8,3.5,5.39127359203858
"273",8,4,5.11504581928111
"274",8,4.5,5.39432066461818
"275",8,5,5.3540098599647
"276",8,5.5,5.29330384776982
"277",8,6,5.37445889828812
"278",8,6.5,5.22199473625213
"279",8,7,4.27488218828917
"280",8,7.5,4.32211875616798
"281",8,8,4.35075084009288
"282",8,8.5,4.28016892485062
"283",8,9,4.23796594663344
"284",8,9.5,4.23411410130746
"285",8,10,4.32632446250394
"286",8.5,1,7.54786641039702
"287",8.5,1.5,8.44810022897288
"288",8.5,2,6.32615958083529
"289",8.5,2.5,6.40937296537495
"290",8.5,3,5.20469088990342
"291",8.5,3.5,5.35066182780266
"292",8.5,4,5.27242112078394
"293",8.5,4.5,5.14578984027729
"294",8.5,5,5.38455693622286
"295",8.5,5.5,4.23407922821145
"296",8.5,6,4.26747331429938
"297",8.5,6.5,4.14989502768491
"298",8.5,7,4.18227861461221
"299",8.5,7.5,4.19478789233944
"300",8.5,8,4.17982035849383
"301",8.5,8.5,4.30349988895899
"302",8.5,9,4.26942590229327
"303",8.5,9.5,3.21665213567036
"304",8.5,10,4.21757140320797
"305",9,1,9.63674744113544
"306",9,1.5,6.43348312979577
"307",9,2,8.44107578791203
"308",9,2.5,5.22664734752318
"309",9,3,6.39150203421227
"310",9,3.5,5.29269659538585
"311",9,4,5.32314995632399
"312",9,4.5,5.36491355515523
